Team,Qty,Name,Cost,MA,ST,AG,PA,AV,Skills and Traits,Primary Skill Categories,Secondary Skill Categories,Notes
Black Orc,0-12,Goblin Bruiser Linemen,45000,6,2,3+,4+,8+,"Dodge, Right Stuff, Stunty, Thick Skull",A,GPS,
Black Orc,0-6,Black Orcs,90000,4,4,4+,5+,10+,"Brawler, Grab",GS,AP,
Black Orc,0-1,Trained Troll,115000,4,5,5+,5+,10+,"Always Hungry, Loner (3+), Mighty Blow (+1), Projectile Vomit, Really Stupid, Regeneration, Throw Team-Mate",S,AGP,
Chaos Chosen,0-16,Beastman Runner Linemen,60000,6,3,3+,4+,9+,Horns,GMS,AP,
Chaos Chosen,0-4,Chosen Blockers,100000,5,4,3+,5+,10+,None,GMS,A,
Chaos Chosen,0-1,Chaos Troll,115000,4,5,5+,5+,10+,"Always Hungry, Loner (4+), Mighty Blow (+1), Projectile Vomit, Really Stupid, Regeneration, Throw Team-Mate",MS,AG,
Chaos Chosen,0-1,Chaos Ogre,140000,5,5,4+,5+,10+,"Bone Head, Loner (4+), Mighty Blow (+1), Thick Skull, Throw Team-Mate",MS,AG,
Chaos Chosen,0-1,Minotaur,150000,5,5,4+,-,9+,"Loner (4+), Frenzy, Horns, Mighty Blow (+1), Thick Skull, Unchannelled Fury",MS,AG,
Chaos Renegades,0-12,Renegade Human Linemen,50000,6,3,3+,4+,9+,None,GM,AS,
Chaos Renegades,0-1,Renegade Human Thrower,75000,6,3,3+,3+,9+,"Animosity (all team-mates), Pass, Safe Pair of Hands",GMP,AS,
Chaos Renegades,0-1,Renegade Goblin,40000,6,2,3+,4+,8+,"Animosity (all team-mates), Dodge, Right Stuff, Stunty",AM,GP,
Chaos Renegades,0-1,Renegade Orc,50000,5,3,3+,5+,10+,Animosity (all team-mates),GM,AS,
Chaos Renegades,0-1,Renegade Skaven,50000,7,3,3+,4+,8+,Animosity (all team-mates),GM,AS,
Chaos Renegades,0-1,Renegade Dark Elf,75000,6,3,2+,3+,9+,Animosity (all team-mates),AGM,PS,
Chaos Renegades,0-1,Renegade Troll,115000,4,5,5+,5+,10+,"Always Hungry, Loner (4+), Mighty Blow (+1), Projectile Vomit, Really Stupid, Regeneration, Throw Team-Mate",S,AGM,
Chaos Renegades,0-1,Renegade Ogre,140000,5,5,4+,5+,10+,"Bone Head, Loner (4+), Mighty Blow (+1), Thick Skull, Throw Team-Mate",S,AGM,
Chaos Renegades,0-1,Renegade Minotaur,150000,5,5,4+,-,9+,"Loner (4+), Frenzy, Horns, Mighty Blow (+1), Thick Skull, Unchannelled Fury",S,AGM,
Chaos Renegades,0-1,Renegade Rat Ogre,150000,6,5,4+,-,9+,"Animal Savagery, Frenzy, Loner (4+), Mighty Blow (+1), Prehensile Tail",S,AGM,
Dark Elf,0-12,Dark Elf Linemen,70000,6,3,2+,4+,9+,None,AG,S,
