Category,"Name","Rule Book Description"
"Regional","Badlands Brawl","The Badlands Brawl is home to a great many Greenskin and Ogre teams. Unsurprisingly, Blood Bowl in the Badlands is a brutal, violent and extremely dishonest affair, but these are virtues that make it ever popular with the fans!"
"Regional","Elven Kingdoms League","One of the oldest leagues in the known world, the Elven Kingdoms League prides itself on upholding the traditions of classically-correct Blood Bowl. Many find it dull but, in terms of elegance and expertise, it is second to none."
"Regional","Halfling Thimble Cup","Traditionally, Halflings have been associated more closely with the culinary arts than the world of professional sport. In recent years this has changed greatly, and the Thimble Cup has become a mainstay on the Blood Bowl calendar."
"Regional","Lustrian Superleague","The Lustrian Superleague is the oldest competition in the world, and home to many of the sport’s most ancient teams. For millennia it was closed to all except Lizardmen teams, but in recent years has opened its ranks to welcome other races."
"Regional","Old World Classic","Since the collapse of the NAF, Blood Bowl in the Old World has struggled. But in recent years the sport’s fortunes have improved, largely thanks to the founding of the Old World Classic, a competition that draws together many minor leagues."
"Regional","Sylvanian Spotlight","For many decades the Sylvanian Spotlight was the only place most Undead teams could hope to compete. In recent years, the development of sun protection magic has changed this, allowing the athletically inclined Undead to play at anytime, anywhere!"
"Regional","Underworld Challenge","A secretive league that, until only recently, many pundits refused to believe even existed! The Underworld Challenge hosts many strange and diverse teams, the likes of which are rarely seen in daylight. For a horrifying spectacle, it is second to none!"
"Regional","Worlds Edge Superleague","Played on high peaks under clear skies, the Superleague is the pride of the Dwarfen realm. Games last many hours as rules are carefully checked and checked again, ensuring that the purity of Roze-El’s sacred work is maintained. Interestingly, in Dwarfish ‘venerable’ and ‘dull’ are spelled the same."
Team,"Bribery and Corruption","Many teams are legendarily unscrupulous. Such teams
excel in violence and dirty play. What’s more, they’re
not afraid to exert their influence on officials, either by
extortion or blackmail, encouraging them to turn a blind
eye to even the most illegal of illegal procedures!

It takes a strong-willed referee indeed to risk making
an enemy of a team so renowned for reacting… poorly
towards any official that would rebuke its behaviour:

* Once per game, when rolling on the Argue the Call
table, you may re-roll a roll of a natural 1.

In addition, a team with this special rule can
purchase certain Inducements for a reduced price, as
noted in the description of that Inducement."
Team,Favoured of…,"The followers of the Ruinous Powers are drawn to Blood Bowl, paying homage to their dark gods through violence on the pitch. Whilst many teams worship Chaos as a pantheon, many more dedicate their souls entirely to a single patron deity.

Certain Inducements are only available to teams that are ‘Favoured of’ a specific Chaos power, as noted in their description. A team may be noted as being either:

* Favoured of Chaos Undivided
* Favoured of Khorne
* Favoured of Nurgle
* Favoured of Tzeentch
* Favoured of Slaanesh
* Favoured of Hashut

In some cases, however, you may be able to choose the team’s alignment when the team is first drafted, as in the case of Chaos Renegades.

A team with this special rule cannot change its alignment."
Team,Favoured of Chaos Undivided,See Favoured of…
Team,Favoured of Khorne,See Favoured of…
Team,Favoured of Nurgle,See Favoured of…
Team,Favoured of Tzeentch,See Favoured of…
Team,Favoured of Slaanesh,See Favoured of…
Team,Favoured of Hashut,See Favoured of…
Team,"Low Cost Linemen","Some teams field Linemen of great skill and ability. Other teams do not and will happily take on the most useless of players to fill out their ranks. Readily available, easily replaceable and usually willing to work for pennies, such players fill gaps in the rosters, but rarely do much more!

Teams with this special rule are not very particular about the Linemen they hire. To make up for this, they don’t usually bother to pay them:

* In league play (but not in exhibition play), when calculating the Current Value of any permanently hired Lineman players on a team with this special rule, the Hiring Fee of that player is not included."
Team,"Masters of Undeath","Teams with this special rule all fall into the broader
category of ‘Undead’. Usually created from the animated
corpses of freshly-deceased players brought back
to the game by athletically-inclined necromancers,
such teams don’t always operate quite like their more
vital counterparts!

The Head Coach of this team is replaced by a
Necromancer. Once per game, they can ‘Raise the Dead’:

* If a player on the opposing team with a Strength
characteristic of 4 or less and that does not have the
Regeneration or Stunty traits suffers a Casualty result
of 15-16, DEAD, and if they cannot be saved by an
apothecary, a new rookie Zombie Lineman player can
be placed immediately in the Reserves box of this
team’s dugout. Note that this may cause the team
to have more than 16 players for the remainder of
the game.
* During Step 4 of the post-game sequence, this player
may be permanently hired for free if the team has
fewer than 16 players on its Team Draft list, otherwise
it will be lost. The player’s full value still counts towards
the Team Value.

Additionally, just like the Head Coach of any other
team, a Necromancer can Argue the Call when one of
their players is Sent-off for committing a Foul, as long as
they haven’t been sent off themselves."
Team,Vampire Lord,"The Head Coach of this team is replaced by a Vampire Lord. Once per game, during the post-game sequence, they can 'Summon a Thrall':

* If a player on the opposing team with a Strength characteristic of 4 or less and that did not have the Regeneration or Stunty traits suffered a Casualty result of 15 or 16, DEAD during the game, and if they could not be saved by an apothecary, during Step 4 of the post-game sequence a single new rookie Thrall Lineman player may be permanently hired for free if the team has fewer than 16 players on its team draft list, otherwise it will be lost. The Thrall Lineman's full value still counts towards the Team Value.

Additionally, just like the Head Coach of any other team, a Vampire Lord can Argue the Call when one of their players is Sent-off for committing a Foul, as long as they haven't been Sent-off themselves."
